Таблицы обратного планирования

  k4 |  x4 |    P4 
  80 |  28 | 65.197
  84 |  28 | 66.790
  88 |  32 | 68.349
  92 |  32 | 69.860
  96 |  36 | 71.352
 100 |  36 | 72.827
 104 |  36 | 74.245
 108 |  36 | 75.643
 112 |  40 | 77.022
 116 |  40 | 78.359
 120 |  44 | 79.681
 124 |  44 | 80.991
 128 |  48 | 82.275
 132 |  48 | 83.545
 136 |  48 | 84.803
 140 |  52 | 86.029
 144 |  52 | 87.245
 148 |  52 | 88.443
 152 |  56 | 89.621
 156 |  56 | 90.786
 160 |  56 | 91.934
 164 |  60 | 93.063
 168 |  60 | 94.176
 172 |  60 | 95.282
 176 |  64 | 96.374
 180 |  64 | 97.453
 184 |  64 | 98.526
 188 |  68 | 99.586
 192 |  68 | 100.628
 196 |  68 | 101.659
 200 |  72 | 102.680
 204 |  72 | 103.688
 208 |  72 | 104.690
 212 |  76 | 105.685
 216 |  76 | 106.665
 220 |  76 | 107.636
 224 |  80 | 108.604
 228 |  84 | 109.566
 232 |  84 | 110.519
 236 |  84 | 111.462
 240 |  84 | 112.398
 244 |  88 | 113.323
 248 |  88 | 114.237
 252 |  92 | 115.146
 256 |  92 | 116.054
 260 |  92 | 116.953
 264 |  92 | 117.836
 268 |  92 | 118.718
 272 |  96 | 119.590
 276 | 100 | 120.456
 280 |  96 | 121.315
 284 | 100 | 122.174
 288 | 104 | 123.024
 292 | 108 | 123.868
 296 | 108 | 124.709
 300 | 108 | 125.539
 304 | 108 | 126.363
 308 | 108 | 127.186
 312 | 108 | 128.005
 316 | 112 | 128.820
 320 | 116 | 129.632
 324 | 116 | 130.426
 328 | 116 | 131.224
 332 | 116 | 132.016
 336 | 120 | 132.801
 340 | 124 | 133.581
 344 | 120 | 134.356
 348 | 124 | 135.132
 352 | 124 | 135.905
 356 | 128 | 136.665
 360 | 124 | 137.421
 364 | 128 | 138.172
 368 | 128 | 138.921
 372 | 132 | 139.666
 376 | 136 | 140.410
 380 | 136 | 141.146
 384 | 136 | 141.879
 388 | 136 | 142.614
 392 | 140 | 143.338
 396 | 140 | 144.055
 400 | 148 | 144.775
 404 | 140 | 145.496
 408 | 144 | 146.209
 412 | 148 | 146.925
 416 | 152 | 147.628
 420 | 148 | 148.327
 424 | 148 | 149.027
 428 | 152 | 149.724
 432 | 148 | 150.414
 436 | 152 | 151.108
 440 | 152 | 151.792
 444 | 160 | 152.474
 448 | 160 | 153.150
 452 | 160 | 153.827
 456 | 164 | 154.497
 460 | 168 | 155.168
 464 | 160 | 155.834
 468 | 168 | 156.496
 472 | 168 | 157.159
 476 | 172 | 157.818
 480 | 172 | 158.476
 484 | 172 | 159.137
 488 | 172 | 159.784
 492 | 172 | 160.431
 496 | 172 | 161.076
 500 | 172 | 161.722
 504 | 176 | 162.365
 508 | 180 | 163.004
 512 | 180 | 163.634
 516 | 180 | 164.262
 520 | 184 | 164.889
 524 | 192 | 165.519
 528 | 184 | 166.146
 532 | 188 | 166.770
 536 | 192 | 167.392
 540 | 192 | 168.009
 544 | 192 | 168.625
 548 | 196 | 169.236
 552 | 192 | 169.846
 556 | 196 | 170.456
 560 | 200 | 171.063
 564 | 196 | 171.668
 568 | 200 | 172.268
 572 | 204 | 172.870
 576 | 204 | 173.468
 580 | 212 | 174.063
 584 | 212 | 174.655
 588 | 212 | 175.245
 592 | 212 | 175.838
 596 | 212 | 176.429
 600 | 212 | 177.015
 604 | 212 | 177.604
 608 | 212 | 178.186
 612 | 216 | 178.762
 616 | 220 | 179.339
 620 | 220 | 179.916
 624 | 228 | 180.492
 628 | 228 | 181.067
 632 | 228 | 181.637
 636 | 220 | 182.207
 640 | 228 | 182.770
 644 | 228 | 183.339
 648 | 232 | 183.899
 652 | 228 | 184.462
 656 | 228 | 185.023
 660 | 236 | 185.580
 664 | 236 | 186.138
 668 | 240 | 186.694
 672 | 236 | 187.248
 676 | 240 | 187.802
 680 | 236 | 188.351
 684 | 240 | 188.896
 688 | 240 | 189.438
 692 | 248 | 189.982
 696 | 240 | 190.526
 700 | 256 | 191.072
 704 | 256 | 191.612
 708 | 256 | 192.151
 712 | 256 | 192.688
 716 | 260 | 193.222
 720 | 256 | 193.759
 724 | 256 | 194.291
 728 | 260 | 194.823
 732 | 264 | 195.353
 736 | 260 | 195.883
 740 | 264 | 196.409
 744 | 256 | 196.934
 748 | 260 | 197.459
 752 | 264 | 197.986
 756 | 264 | 198.506
 760 | 272 | 199.029
 764 | 272 | 199.549
 768 | 276 | 200.065
 772 | 280 | 200.578
 776 | 272 | 201.096
 780 | 272 | 201.608
 784 | 272 | 202.121
 788 | 276 | 202.629
 792 | 280 | 203.134
 796 | 284 | 203.641
 800 | 288 | 204.149
 804 | 280 | 204.653
 808 | 288 | 205.157
 812 | 288 | 205.662
 816 | 288 | 206.162
 820 | 288 | 206.663
 824 | 288 | 207.161
 828 | 296 | 207.662
 832 | 296 | 208.158
 836 | 296 | 208.653
 840 | 296 | 209.149
 844 | 296 | 209.643
 848 | 300 | 210.130
 852 | 296 | 210.620
 856 | 300 | 211.112
 860 | 296 | 211.599
 864 | 300 | 212.086
 868 | 308 | 212.571
 872 | 308 | 213.058
 876 | 312 | 213.544
 880 | 312 | 214.028
 884 | 312 | 214.505
 888 | 320 | 214.986
 892 | 312 | 215.467
 896 | 312 | 215.945
 900 | 312 | 216.423
 904 | 320 | 216.898
 908 | 320 | 217.374
 912 | 320 | 217.847
 916 | 332 | 218.320
 920 | 332 | 218.796
 924 | 332 | 219.265
 928 | 332 | 219.733
 932 | 332 | 220.203
 936 | 336 | 220.671
 940 | 332 | 221.145
 944 | 336 | 221.608
 948 | 332 | 222.071
 952 | 336 | 222.533
 956 | 332 | 222.994
 960 | 332 | 223.456
 964 | 336 | 223.916
 968 | 340 | 224.377
 972 | 336 | 224.836
 976 | 340 | 225.295
 980 | 352 | 225.753
 984 | 348 | 226.208
 988 | 352 | 226.666
 992 | 356 | 227.119
 996 | 348 | 227.571
1000 | 352 | 228.024


  k1 |  x1 |   P1 
1000 | 460 | 277.163


